tax_id	GeneID	LocusTag	Ensembl	description	Symbol_from_nomenclature_authority	Full_name_from_nomenclature_authority	Nomenclature_status	Other_designations		Metabolic?
9606	PPIAL4F	-	ENSG00000279782	peptidylprolyl isomerase A (cyclophilin A)-like 4F	PPIAL4F	peptidylprolyl isomerase A (cyclophilin A)-like 4F	O	cyclophilin-LC (COAS2) pseudogene	20150704	Y
9606	MRM1	-	ENSG00000278619	mitochondrial rRNA methyltransferase 1	MRM1	mitochondrial rRNA methyltransferase 1	O	16S rRNA (guanosine(1145)-2'-O)-methyltransferase|16S rRNA [Gm1145] 2'-O-methyltransferase|CTB-75G16.3|mitochondrial large ribosomal RNA ribose methylase|mitochondrial rRNA methyltransferase 1 homolog	20150705	Y
9606	ACACA	ACAC|ACACAD|ACC|ACC1|ACCA	ENSG00000278540	acetyl-CoA carboxylase alpha	ACACA	acetyl-CoA carboxylase alpha	O	ACC-alpha|acetyl-Coenzyme A carboxylase alpha	20150705	Y
9606	DHRS11	ARPG836|SDR24C1	ENSG00000278535	dehydrogenase/reductase (SDR family) member 11	DHRS11	dehydrogenase/reductase (SDR family) member 11	O	"short chain dehydrogenase/reductase family 24C, member 1|short-chain dehydrogenase/reductase family 24C member 1"	20150704	Y
9606	PGM5P2	-	ENSG00000277778	phosphoglucomutase 5 pseudogene 2	PGM5P2	phosphoglucomutase 5 pseudogene 2	O	-	20150514	Y
9606	MARCKS	80K-L|MACS|PKCSL|PRKCSL	ENSG00000277443	myristoylated alanine-rich protein kinase C substrate	MARCKS	myristoylated alanine-rich protein kinase C substrate	O	"myristoylated alanine-rich protein kinase C substrate (MARCKS, 80K-L)|phosphomyristin|protein kinase C substrate, 80 kDa protein, light chain"	20150705	Y
9606	SRCIN1	P140|SNIP	ENSG00000277363	SRC kinase signaling inhibitor 1	SRCIN1	SRC kinase signaling inhibitor 1	O	P130Cas-associated protein|SNAP-25-interacting protein|SNAP25-interacting protein|p140Cap	20150705	Y
9606	LOC102724788	-	ENSG00000277196	"proline dehydrogenase 1, mitochondrial"	-	-	-	-	20150504	Y
9606	GSTTP1	GSTT4|HS322B1A	ENSG00000276950	glutathione S-transferase theta pseudogene 1	GSTTP1	glutathione S-transferase theta pseudogene 1	O	GST class-theta-4|Glutathione S-transferase theta-4|glutathione S-transferase theta 1 pseudogene	20150504	Y
9606	PADI6	hPADVI	ENSG00000276747	"peptidyl arginine deiminase, type VI"	PADI6	"peptidyl arginine deiminase, type VI"	O	peptidyl arginine deiminase-like protein|peptidylarginine deiminase type 6	20150704	Y
9606	YWHAEP7	-	ENSG00000276715	"tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, epsilon pseudogene 7"	YWHAEP7	"tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, epsilon pseudogene 7"	O	"tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, epsilon polypeptide pseudogene"	20150504	Y
9606	UBE2NL	Li174	ENSG00000276380	ubiquitin-conjugating enzyme E2N-like (gene/pseudogene)	UBE2NL	ubiquitin-conjugating enzyme E2N-like (gene/pseudogene)	O	epididymis tissue protein Li 174	20150705	Y
9606	PIP4K2B	PI5P4KB|PIP5K2B|PIP5KIIB|PIP5KIIbeta|PIP5P4KB	ENSG00000276293	"phosphatidylinositol-5-phosphate 4-kinase, type II, beta"	PIP4K2B	"phosphatidylinositol-5-phosphate 4-kinase, type II, beta"	O	"1-phosphatidylinositol 5-phosphate 4-kinase 2-beta|1-phosphatidylinositol-4-phosphate kinase|1-phosphatidylinositol-5-phosphate 4-kinase 2-beta|PI(5)P 4-kinase type II beta|PIP4KII-beta|PTDINS(4)P-5-kinase|diphosphoinositide kinase 2-beta|phosphatidylinositol 5-phosphate 4-kinase type II beta|phosphatidylinositol-4-phosphate 5-kinase, type II, beta|phosphatidylinositol-5-phosphate 4-kinase type-2 beta|ptdIns(5)P-4-kinase isoform 2-beta"	20150705	Y
9606	PIK3R6	C17orf38|HsT41028|p84 PIKAP|p87(PIKAP)|p87PIKAP	ENSG00000276231	"phosphoinositide-3-kinase, regulatory subunit 6"	PIK3R6	"phosphoinositide-3-kinase, regulatory subunit 6"	O	PI3Kgamma adapter protein of 87 kDa|p84 PI3K adapter protein|p87 phosphoinositide 3-kinase gamma (PI3Kg) adapter protein	20150704	Y
9606	DUSP14	MKP-L|MKP6	ENSG00000276023	dual specificity phosphatase 14	DUSP14	dual specificity phosphatase 14	O	MAP kinase phosphatase 6|MKP-1 like protein tyrosine phosphatase|MKP-1-like protein tyrosine phosphatase|MKP-6|mitogen-activated protein kinase phosphatase 6	20150705	Y
9606	LOC102724428	-	ENSG00000275993	serine/threonine-protein kinase SIK1	-	-	-	-	20150627	Y
9606	ARHGAP23	-	ENSG00000275832	Rho GTPase activating protein 23	ARHGAP23	Rho GTPase activating protein 23	O	rho-type GTPase-activating protein 23	20150705	Y
9606	PPP4R3B	FLFL2|PP4R3B|PSY2|SMEK2|smk1	ENSG00000275052	"protein phosphatase 4, regulatory subunit 3B"	PPP4R3B	"protein phosphatase 4, regulatory subunit 3B"	O	"SMEK homolog 2, suppressor of mek1"	20150705	Y
9606	PI4KAP1	-	ENSG00000274602	"phosphatidylinositol 4-kinase, catalytic, alpha pseudogene 1"	PI4KAP1	"phosphatidylinositol 4-kinase, catalytic, alpha pseudogene 1"	O	"phosphatidylinositol 4-kinase, catalytic, alpha polypeptide pseudogene 1"	20150504	Y
9606	DGKK	-	ENSG00000274588	"diacylglycerol kinase, kappa"	DGKK	"diacylglycerol kinase, kappa"	O	142 kDa diacylglycerol kinase|DAG kinase kappa|DGK-kappa|diglyceride kinase kappa	20150704	Y
9606	KDM4C	GASC1|JHDM3C|JMJD2C|TDRD14C	ENSG00000274527	lysine (K)-specific demethylase 4C	KDM4C	lysine (K)-specific demethylase 4C	O	JmjC domain-containing histone demethylation protein 3C|gene amplified in squamous cell carcinoma 1 protein|jumonji domain-containing protein 2C|tudor domain containing 14C	20150705	Y
9606	LOC440434	-	ENSG00000274487	aminopeptidase puromycin sensitive pseudogene	-	-	-	-	20150705	Y
